#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV
34,Filecoin FIL,$3.42,0.5%,-2.1%,-28.4%,"$124,928,059","$1,466,605,939","$6,708,489,809",0.22
35,Cronos CRO,$0.055067001897,0.0%,4.8%,-10.6%,"$7,733,213","$1,437,428,569","$1,651,986,053",0.87
36,Hedera HBAR,$0.044055986320,0.3%,-2.3%,-13.1%,"$28,154,577","$1,392,533,729","$2,201,467,290",0.63
37,Arbitrum ARB,$1.00,-0.2%,1.0%,-17.8%,"$214,696,848","$1,275,629,717","$10,004,938,954",0.13
38,Aptos APT,$6.08,1.7%,1.2%,-34.8%,"$66,324,439","$1,210,508,121","$6,261,463,304",0.19
39,VeChain VET,$0.015692647637,0.4%,2.6%,-21.6%,"$46,263,631","$1,140,493,671","$1,360,047,692",0.84
40,NEAR Protocol NEAR,$1.21,1.0%,-0.5%,-25.8%,"$62,670,502","$1,108,155,454","$1,210,843,990",0.92
41,Frax FRAX,$1.00,0.2%,0.4%,0.4%,"$6,430,376","$1,007,405,925","$1,007,405,925",1.00
42,Pax Dollar USDP,$0.999272,0.0%,-0.1%,0.0%,"$1,574,743","$1,005,396,593","$1,005,396,593",1.00
43,BSCEX BSCX,$237.69,-0.1%,0.7%,13603.1%,"$1,332,743","$907,029,841","$2,225,937,023",0.41
44,The Graph GRT,$0.100038,-0.1%,-0.4%,-21.1%,"$49,052,138","$901,045,288","$1,000,260,968",0.90
45,ApeCoin APE,$2.38,1.0%,3.9%,-24.5%,"$112,088,827","$872,901,309","$2,368,193,463",0.37
46,Rocket Pool RPL,$44.27,0.2%,0.1%,-11.4%,"$3,206,747","$862,218,008","$862,218,008",1.00
47,Rocket Pool ETH RETH,"$1,890.46",0.4%,-0.1%,-7.3%,"$3,481,584","$830,345,978","$830,345,978",1.00
48,Algorand ALGO,$0.111169,1.0%,-1.1%,-27.2%,"$42,622,995","$805,775,541","$1,111,511,523",0.72
49,MultiversX EGLD,$30.33,0.8%,0.0%,-20.7%,"$12,297,712","$774,740,149","$952,743,697",0.81
50,Stacks STX,$0.556387,2.9%,-1.2%,-10.0%,"$45,430,898","$769,536,125","$1,010,980,111",0.76
51,EOS EOS,$0.689635,1.0%,-0.5%,-25.1%,"$165,439,468","$763,833,633",-,-
52,Aave AAVE,$52.79,0.3%,0.2%,-16.3%,"$47,834,267","$761,482,423","$844,596,742",0.90
53,USDD USDD,$0.999159,0.1%,0.5%,-0.0%,"$23,181,281","$744,931,255",-,-
54,The Sandbox SAND,$0.390301,1.1%,1.6%,-32.1%,"$118,197,230","$723,255,451","$1,170,580,227",0.62
55,Render RNDR,$1.95,0.9%,-1.1%,-27.0%,"$78,558,140","$712,739,953","$1,033,014,067",0.69
56,Optimism OP,$1.09,0.7%,-2.0%,-26.9%,"$104,786,606","$702,743,289","$4,682,413,708",0.15
57,Fantom FTM,$0.242227,1.3%,0.6%,-24.3%,"$97,894,027","$675,991,760","$768,350,463",0.88
58,Tezos XTZ,$0.722554,0.3%,-0.2%,-21.1%,"$16,607,721","$674,206,069",-,-
59,WhiteBIT Token WBT,$4.67,0.0%,-0.3%,-4.8%,"$5,086,077","$673,015,602","$1,867,950,393",0.36
60,Bitget Token BGB,$0.478131,-0.3%,3.4%,1.7%,"$18,880,864","$669,165,704","$955,950,323",0.70
61,Theta Network THETA,$0.657656,0.3%,0.7%,-21.9%,"$10,156,383","$657,245,975","$657,245,975",1.00
62,Radix XRD,$0.064188227002,0.1%,3.3%,-4.8%,"$1,823,617","$653,714,860","$1,539,791,274",0.42
63,Decentraland MANA,$0.343210,0.5%,-0.7%,-30.7%,"$59,227,126","$625,592,057","$752,071,592",0.83
64,BitDAO BIT,$0.428293,0.2%,1.1%,-13.5%,"$2,207,871","$622,698,598","$4,115,994,405",0.15
65,ImmutableX IMX,$0.606741,0.2%,0.2%,-26.8%,"$17,893,426","$606,062,728","$1,213,481,125",0.50
68,Gemini Dollar GUSD,$1.00,0.3%,0.3%,0.6%,"$2,236,825","$573,830,622","$573,830,622",1.00
66,KuCoin KCS,$5.93,0.2%,-4.5%,-20.2%,"$3,030,393","$573,773,455","$855,228,101",0.67
67,Curve DAO CRV,$0.673510,0.1%,0.7%,-21.7%,"$45,298,037","$573,461,857","$2,223,955,846",0.26
69,Axie Infinity AXS,$4.96,0.6%,0.2%,-30.8%,"$42,590,045","$573,243,513","$1,338,180,275",0.43
70,Synthetix Network SNX,$1.79,0.9%,1.2%,-23.8%,"$23,878,875","$571,487,626","$572,785,004",1.00
71,Gate GT,$4.07,0.2%,3.8%,-4.9%,"$580,548","$566,029,502","$1,221,480,274",0.46
72,Maker MKR,$617.15,0.1%,-3.2%,-11.1%,"$22,496,194","$556,200,028","$620,542,730",0.90
73,NEO NEO,$7.74,0.2%,1.5%,-26.0%,"$24,145,008","$545,378,704","$773,257,769",0.71
74,Flow FLOW,$0.508625,-0.1%,-0.7%,-30.5%,"$14,516,410","$530,958,522","$737,121,231",0.72
75,Terra Luna Classic LUNC,$0.000090666347,0.7%,3.5%,-16.5%,"$39,518,585","$529,821,648","$620,819,533",0.85
76,GALA GALA,$0.021380611650,0.4%,1.3%,-27.9%,"$68,128,054","$514,080,515","$1,068,711,215",0.48
77,BitTorrent BTT,$0.000000537490,-0.7%,1.6%,-9.7%,"$15,537,168","$504,428,817","$524,882,417",0.96
78,Bitcoin SV BSV,$25.82,0.1%,-1.2%,-22.1%,"$27,296,210","$497,680,283","$542,470,900",0.92
79,PAX Gold PAXG,"$1,915.75",-0.0%,-0.4%,-1.5%,"$7,101,231","$494,761,521","$494,761,521",1.00
80,Tether Gold XAUT,"$1,960.11",0.0%,0.3%,0.4%,"$6,500,535","$483,215,771","$483,215,771",1.00
81,Klaytn KLAY,$0.154935,1.2%,4.3%,-16.9%,"$16,323,090","$480,313,933",-,-
82,XDC Network XDC,$0.034096722218,0.1%,-0.1%,-2.7%,"$1,845,368","$472,061,186","$1,290,536,717",0.37
83,Casper Network CSPR,$0.041997450042,1.9%,0.9%,-10.5%,"$3,099,645","$465,864,788","$494,631,852",0.94
84,Kava KAVA,$0.821471,-0.0%,2.4%,-18.4%,"$16,500,885","$464,734,979","$464,747,145",1.00
85,cETH CETH,$35.00,0.0%,0.4%,-8.4%,$106.14,"$457,008,863","$457,008,880",1.00
86,Tokenize Xchange TKX,$5.70,-0.2%,-0.4%,-11.6%,"$8,846,957","$455,600,570","$569,529,189",0.80
87,Injective INJ,$5.61,0.8%,-3.7%,-28.8%,"$47,304,681","$448,799,650","$560,960,609",0.80
88,IOTA MIOTA,$0.157143,0.5%,0.1%,-24.2%,"$9,613,151","$436,534,957","$436,534,957",1.00
89,Huobi HT,$2.65,0.2%,1.4%,-11.4%,"$15,949,181","$429,696,101","$539,925,341",0.80
90,eCash XEC,$0.000020716170,0.7%,2.0%,-16.6%,"$2,774,728","$401,905,686","$434,779,864",0.92
91,Frax Ether FRXETH,"$1,756.77",0.2%,-0.1%,-7.4%,"$1,914,652","$395,224,653","$395,224,653",1.00
92,cUSDC CUSDC,$0.022890940868,0.1%,-0.1%,0.1%,$8.89,"$394,879,666","$394,879,666",1.00
93,Mina Protocol  MINA,$0.428851,0.9%,3.2%,-23.0%,"$13,896,694","$392,616,542","$446,649,619",0.88
94,Pepe PEPE,$0.000000927153,0.4%,-2.3%,-25.4%,"$99,045,198","$391,525,882","$391,525,882",1.00
95,GMX GMX,$44.17,-0.1%,-2.6%,-22.0%,"$21,068,524","$387,867,439","$585,237,749",0.66
96,Conflux CFX,$0.182856,0.7%,0.8%,-31.9%,"$53,790,645","$383,540,495","$966,371,705",0.40
97,Chiliz CHZ,$0.069128624418,0.3%,0.2%,-32.6%,"$61,957,742","$369,536,733","$614,657,797",0.60
98,Frax Share FXS,$4.94,1.0%,-4.6%,-24.9%,"$20,685,436","$357,321,924","$492,527,411",0.73
99,NEXO NEXO,$0.618690,-0.1%,1.3%,-6.8%,"$4,049,281","$346,304,662","$618,401,172",0.56
100,tomiNet TOMI,$5.13,0.4%,1.3%,6.4%,"$28,329,906","$335,958,431","$579,030,639",0.58
