#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV
72,Maker MKR,$614.97,-0.8%,-2.8%,-11.4%,"$22,099,868","$554,079,908","$618,177,348",0.90
73,NEO NEO,$7.72,0.1%,1.1%,-26.1%,"$23,774,784","$544,600,015","$772,153,715",0.71
74,Flow FLOW,$0.511464,0.5%,-1.0%,-30.1%,"$18,796,859","$528,886,283","$734,244,373",0.72
75,Terra Luna Classic LUNC,$0.00008998,-0.1%,1.9%,-17.2%,"$38,341,193","$528,023,242","$618,712,247",0.85
76,GALA GALA,$0.02134618,0.2%,0.5%,-28.1%,"$65,091,130","$512,939,762","$1,066,339,728",0.48
77,BitTorrent BTT,$0.000000536688,-0.9%,1.2%,-9.8%,"$15,481,625","$511,589,070","$532,333,004",0.96
78,Bitcoin SV BSV,$25.73,-0.1%,-2.2%,-22.4%,"$26,998,880","$496,215,176","$540,873,935",0.92
79,PAX Gold PAXG,"$1,913.65",-0.0%,-0.9%,-1.6%,"$6,593,640","$494,271,300","$494,271,300",1.00
80,Tether Gold XAUT,"$1,959.13",0.0%,0.0%,0.3%,"$6,493,966","$483,521,131","$483,521,131",1.00
81,Klaytn KLAY,$0.154669,0.5%,3.6%,-17.0%,"$15,896,257","$478,840,195",-,-
82,XDC Network XDC,$0.03410271,-0.0%,-0.3%,-2.6%,"$1,833,733","$472,517,681","$1,291,784,699",0.37
83,Casper Network CSPR,$0.04196154,1.5%,0.4%,-10.6%,"$3,077,461","$466,553,880","$495,363,495",0.94
84,Kava KAVA,$0.820258,0.0%,2.1%,-18.5%,"$16,310,403","$463,694,895","$463,707,033",1.00
85,cETH CETH,$35.26,0.0%,-1.0%,-8.4%,$106,"$460,484,704","$460,484,722",1.00
86,Tokenize Xchange TKX,$5.69,0.1%,-0.1%,-11.6%,"$6,760,147","$454,468,182","$568,113,634",0.80
87,Injective INJ,$5.59,0.4%,-3.9%,-29.1%,"$46,230,400","$447,235,323","$559,005,335",0.80
88,IOTA MIOTA,$0.156859,0.2%,-0.4%,-24.3%,"$9,450,958","$435,958,740","$435,958,740",1.00
89,Huobi HT,$2.65,0.1%,0.9%,-11.5%,"$16,076,735","$429,765,148","$540,012,100",0.80
90,eCash XEC,$0.00002073,0.7%,2.0%,-16.5%,"$2,697,601","$401,396,111","$434,228,608",0.92
91,Frax Ether FRXETH,"$1,755.00",0.1%,-0.2%,-7.5%,"$1,757,432","$395,502,905","$395,502,905",1.00
92,cUSDC CUSDC,$0.02295439,0.1%,-0.1%,0.1%,$8.87,"$395,974,268","$395,974,268",1.00
93,Mina Protocol MINA,$0.429319,0.8%,2.9%,-22.9%,"$13,158,839","$391,887,960","$445,820,768",0.88
94,GMX GMX,$44.28,0.3%,-2.8%,-21.8%,"$21,054,292","$389,061,965","$587,040,122",0.66
95,Pepe PEPE,$0.000000922137,-0.1%,-2.3%,-25.8%,"$96,275,921","$388,155,339","$388,155,339",1.00
96,Conflux CFX,$0.182231,0.5%,0.3%,-32.2%,"$52,589,422","$382,670,818","$964,180,461",0.40
97,Chiliz CHZ,$0.069099,0.3%,-0.3%,-32.6%,"$59,901,324","$368,995,317","$613,757,249",0.60
98,Frax Share FXS,$4.92,0.4%,-4.7%,-25.1%,"$20,377,285","$356,395,159","$491,249,971",0.73
99,NEXO NEXO,$0.616955,-0.3%,1.0%,-7.0%,"$4,009,297","$346,019,270","$617,891,542",0.56
100,Nexus Mutual NXM,$49.84,0.0%,-0.4%,-7.5%,"$12,730","$336,887,750","$336,887,750",1.00
